,timestamp,open,high,low,close,volume,turnover,RSI,EMA,month,prev_close,prev_volume,next_close,volatility,momentum,relative_change,cluster
130,2021-10-31,61793.47,62352.92,60000.0,61241.16,261.088116,15877274.9245469,0.4625937237137515,0.8277875645833954,2021-10,0.8030258048966004,0.0023893930981233012,60839.3,0.20019353698463785,73980.73471091117,76262.00378713929,0
129,2021-11-01,61241.16,62378.38,59439.77,60839.3,281.500271,17204897.79633461,0.44127535156789366,0.8296041157148957,2021-11,0.7933862964380543,0.0029343234081304105,63182.5,0.25143796579680044,73334.34013096461,76682.07389873124,0
128,2021-11-02,60839.3,64270.92,60577.52,63182.5,416.920817,26140889.99658407,0.4448294026214781,0.8355352501690978,2021-11,0.7863726032781417,0.003179207108252706,62899.86,0.31747764962806285,75618.19139523193,80345.7716660167,0
127,2021-11-03,63182.5,63483.12,60373.11,62899.86,413.924393,25863040.86745793,0.3901950597567412,0.8403843399028792,2021-11,0.8272686511861373,0.004803841272409385,61382.1,0.2664344572827481,74845.53986682945,76032.17242810327,0
126,2021-11-04,62899.86,63088.61,60676.02,61382.1,291.231769,17980443.26206697,0.44545333269549514,0.8419944137796269,2021-11,0.8223357137583822,0.004767893309234735,60947.75,0.20541431088759338,72899.83995268095,74642.60233056254,0
125,2021-11-05,61382.1,62566.94,60681.51,60947.75,336.575891,20680636.45807605,0.4768176066047284,0.8426563735028676,2021-11,0.7958461329830153,0.0032959554495215586,61428.16,0.15929091268612214,72327.11845550302,76581.3285106051,0
124,2021-11-06,60947.75,61550.78,60007.19,61428.16,348.747602,21219540.15757751,0.47333406070517015,0.8441343438315974,2021-11,0.7882653893807459,0.003839946829861205,63239.98,0.12938192406560653,72769.59682369085,77927.27241629548,0
123,2021-11-07,61428.16,63254.16,61300.03,63239.98,274.893108,17073520.65892806,0.5373229180084456,0.8487868239610084,2021-11,0.7966500216679941,0.003985970296099789,67465.37,0.16530175845674444,74505.31679799159,79381.38659379014,0
122,2021-11-08,63239.98,67728.2,63239.98,67465.37,629.783858,41403260.27978387,0.5828353019472607,0.8607278308677349,2021-11,0.8282718540001319,0.0030999412726390174,66893.63,0.387019722923633,78380.76898728301,81452.17225760668,0
121,2021-11-09,67465.37,68469.98,66150.0,66893.63,643.383138,43389169.50859973,0.6600796261124531,0.8704854289663424,2021-11,0.9020179072051362,0.007357549545708502,64892.02,0.19731148080291588,76845.352361616,74158.98004659025,0
120,2021-11-10,66893.63,68967.21,62870.02,64892.02,906.447101,60230473.97503463,0.6525352647208778,0.8756511853189131,2021-11,0.8920392854780461,0.0075206994926591865,64719.44,0.5277951307774562,74106.15715112777,72744.69747813763,0
119,2021-11-11,64892.02,65549.99,64100.0,64719.44,501.693509,32528059.07728015,0.6016096297911508,0.8800091779306956,2021-11,0.8571050338336608,0.010676665956184212,64114.27,0.12119247480607002,73543.0511565857,75508.34534886907,0
